zone_id,week_start,risk_score_0_100,risk_bin,scored_utc
zone_17,2025-08-09,69.36537,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-08-16,65.64255,medium,2026-04-25T20:02:39.788341+00:00
zone_17,2025-08-23,94.59441,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-08-30,90.51455,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-09-06,81.68432,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-09-13,82.535904,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-09-20,66.15879,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-09-27,64.843704,medium,2026-04-25T20:02:39.788341+00:00
zone_17,2025-10-04,62.578495,medium,2026-04-25T20:02:39.788341+00:00
zone_17,2025-10-11,82.08235,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-10-18,71.46406,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-10-25,65.69308,medium,2026-04-25T20:02:39.788341+00:00
zone_17,2025-11-01,95.1988,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-11-08,97.99253,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-11-15,90.15566,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-11-22,86.31251,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-11-29,90.72245,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-12-06,96.73068,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-12-13,97.50282,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-12-20,98.02643,high,2026-04-25T20:02:39.788341+00:00
zone_17,2025-12-27,98.15438,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-01-03,98.03924,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-01-10,97.85239,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-01-17,97.9598,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-01-24,97.892586,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-01-31,93.046364,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-02-07,97.94727,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-02-14,97.975525,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-02-21,97.900314,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-02-28,98.00084,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-03-07,98.01327,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-03-14,97.9875,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-03-21,97.96516,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-03-28,98.06469,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-04-04,98.03321,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-04-11,97.97918,high,2026-04-25T20:02:39.788341+00:00
zone_17,2026-04-18,98.00736,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-03-02,97.97163,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-03-09,97.97917,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-03-16,97.997856,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-03-23,97.99513,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-03-30,97.99543,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-04-06,97.9584,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-04-13,98.020996,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-04-20,98.026306,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-04-27,98.02412,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-05-04,98.068184,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-05-11,98.00722,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-05-18,98.00525,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-05-25,98.06127,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-06-01,98.03388,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-06-08,97.99279,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-06-15,98.006996,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-06-22,98.01135,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-06-29,97.96664,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-07-06,98.01899,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-07-13,96.59363,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-07-20,97.865486,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-07-27,95.68835,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-08-03,85.133545,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-08-10,90.65066,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-08-17,84.38243,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-08-24,85.51464,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-08-31,97.728714,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-09-07,73.391495,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-09-14,77.044014,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-09-21,69.45136,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-09-28,86.726295,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-10-05,88.03559,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-10-12,74.35491,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-10-19,75.62525,high,2026-04-25T20:02:39.788341+00:00
